*********************************************************
CAN通信数据记录
CAN1波特率：500Kbps
CAN2波特率：1Mbps
日期：2018年07月04日
时间：10:19:54
*********************************************************

序列       通道号     时间标识     传输方向   帧ID(Hex)     帧类型      帧格式     数据长度  数据(Hex)
000125        0     000056303.1       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000126        0     000056303.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000127        0     000056303.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000128        0     000056303.9       接收     0000060D      标准帧      数据帧        08     02 7C 8F A1 70 80 0A 0C      
000129        0     000056304.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000130        0     000056371.8       接收     0000060A      标准帧      数据帧        04     03 00 E3 10      
000131        0     000056372.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000132        0     000056372.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000133        0     000056372.6       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7E      
000134        0     000056372.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000135        0     000056373.1       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000136        0     000056373.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000137        0     000056373.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000138        0     000056373.8       接收     0000060D      标准帧      数据帧        08     02 7C 8F A1 70 80 0A 0C      
000139        0     000056374.1       接收     0000060D      标准帧      数据帧        08     03 7D 2F A1 70 80 0D 0C      
000140        0     000056441.8       接收     0000060A      标准帧      数据帧        04     03 00 E5 10      
000141        0     000056442.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000142        0     000056442.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000143        0     000056442.6       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7D      
000144        0     000056442.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000145        0     000056443.1       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000146        0     000056443.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000147        0     000056443.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000148        0     000056443.8       接收     0000060D      标准帧      数据帧        08     02 7C AF A1 70 80 0A 0C      
000149        0     000056444.1       接收     0000060D      标准帧      数据帧        08     03 7D 2F A1 70 80 0D 0C      
000150        0     000056516.8       接收     0000060A      标准帧      数据帧        04     03 00 E7 10      
000151        0     000056517.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
