*********************************************************
CAN通信数据记录
CAN1波特率：500Kbps
CAN2波特率：1Mbps
日期：2018年07月09日
时间：17:48:05
*********************************************************

序列       通道号     时间标识     传输方向   帧ID(Hex)     帧类型      帧格式     数据长度  数据(Hex)
000244        0     019009861.7       接收     0000060C      标准帧      数据帧        07     00 8C A3 3A 02 20 E8      
000245        0     019009862.0       接收     0000060C      标准帧      数据帧        07     04 95 27 5A 82 20 CC      
000246        0     019009862.2       接收     0000060C      标准帧      数据帧        07     13 94 E7 3A 82 20 E8      
000247        0     019009862.5       接收     0000060C      标准帧      数据帧        07     01 8C A5 3A 02 20 E8      
000248        0     019009862.7       接收     0000060C      标准帧      数据帧        07     0B AD B1 7D 02 20 2C      
000249        0     019009863.0       接收     0000060C      标准帧      数据帧        07     03 8C A5 3A 82 20 C8      
000250        0     019009863.2       接收     0000060C      标准帧      数据帧        07     06 94 E7 5A 82 20 CC      
000251        0     019009863.5       接收     0000060C      标准帧      数据帧        07     11 A5 27 8D 82 20 64      
000252        0     019009863.7       接收     0000060C      标准帧      数据帧        07     0F 94 E5 4A 82 20 E8      
000253        0     019009864.0       接收     0000060C      标准帧      数据帧        07     05 94 E7 4A 82 20 CC      
000254        0     019009864.2       接收     0000060C      标准帧      数据帧        07     0C 94 E5 3A 82 20 CC      
000255        0     019009864.5       接收     0000060C      标准帧      数据帧        07     10 95 27 5A 82 20 E8      
000256        0     019009864.7       接收     0000060C      标准帧      数据帧        07     08 8C E5 3A 02 20 E8      
000257        0     019009865.0       接收     0000060C      标准帧      数据帧        07     0D A5 2D 8D 82 20 6C      
000258        0     019009865.2       接收     0000060C      标准帧      数据帧        07     0A 94 E5 3A 82 20 C8      
000259        0     019009865.5       接收     0000060D      标准帧      数据帧        08     07 7C 6F A6 70 80 19 0B      
000260        0     019009865.8       接收     0000060D      标准帧      数据帧        08     0E 7D 0F A0 70 80 05 05      
000261        0     019009866.0       接收     0000060D      标准帧      数据帧        08     09 80 8F A0 70 80 05 05      
000262        0     019009866.3       接收     0000060D      标准帧      数据帧        08     02 7C 0F A0 70 80 05 05      
000263        0     019009866.6       接收     0000060D      标准帧      数据帧        08     00 7B EF A0 70 80 05 05      
000264        0     019009866.8       接收     0000060D      标准帧      数据帧        08     04 80 6F A0 70 80 05 05      
000265        0     019009867.1       接收     0000060D      标准帧      数据帧        08     13 7D 4F A0 70 80 05 05      
000266        0     019009867.4       接收     0000060D      标准帧      数据帧        08     01 7C 6F A0 70 80 05 05      
000267        0     019009867.6       接收     0000060D      标准帧      数据帧        08     0B 90 8F A0 70 80 05 05      
000268        0     019009867.9       接收     0000060D      标准帧      数据帧        08     03 7C 8F A0 70 80 05 05      
000269        0     019009868.1       接收     0000060D      标准帧      数据帧        08     06 78 6F A0 70 80 05 05      
000270        0     019009868.4       接收     0000060D      标准帧      数据帧        08     11 7D 0F A0 70 80 05 05      
000271        0     019009868.7       接收     0000060D      标准帧      数据帧        08     0F 7C AF A0 70 80 05 05      
000272        0     019009868.9       接收     0000060D      标准帧      数据帧        08     05 7B AF A0 70 80 05 05      
